Feature ID,Taxon,Confidence
b184b60cdae98aed6f7b56fc0e8b0d3f,D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Chitinophagales;D_4__Saprospiraceae;D_5__Aureispira;D_6__uncultured bacterium,0.827017742
cfb1cd351c8c415dc2b70ecb58678d1d,D_0__Bacteria;D_1__Planctomycetes;D_2__Planctomycetacia;D_3__Pirellulales;D_4__Pirellulaceae;D_5__Pir4 lineage,0.861247956
e18dc1931cfa8bf1005b031dd31dcb28,D_0__Bacteria;D_1__Lentisphaerae;D_2__Lentisphaeria;D_3__Victivallales;D_4__BD2-3;D_5__uncultured Lentisphaerae bacterium;D_6__uncultured Lentisphaerae bacterium,0.983235941
a505046e7e3debcf71b5bda0d802d1fa,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Francisellales;D_4__Francisellaceae,0.863311639
02299cecf4b39b8a89d99539e7f8e399,D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__Bdellovibrionales;D_4__Bdellovibrionaceae;D_5__OM27 clade;D_6__uncultured bacterium,0.752830865
98afd1d765938c86754b7d8991612720,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Alteromonadales;D_4__Idiomarinaceae;D_5__Idiomarina,0.999995942
db2e6b929b3f717c86d29151d52dc51f,D_0__Bacteria;D_1__Tenericutes;D_2__Mollicutes;D_3__Mycoplasmatales;D_4__Mycoplasmataceae;D_5__Mycoplasma;D_6__bacterium WH8-10,0.831104254
d676f219487d19cb17728b7e611ff67f,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Alteromonadales;D_4__Colwelliaceae;D_5__Thalassotalea,0.990081535
4ac9e27abd33a465bd296fff97baf1f9,D_0__Bacteria;D_1__Proteobacteria,0.902130306
e41baecc019598502e521e8dd821fd7a,D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Synechococcales;D_4__Cyanobiaceae;D_5__Prochlorococcus MIT9313,0.821696474
7e20c651510f7fafd5197ab706abc38d,D_0__Bacteria;D_1__PAUC34f,0.999999874
2e273882f360b74f4661179a18842609,D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__Myxococcales;D_4__Blfdi19;D_5__uncultured bacterium;D_6__uncultured bacterium,0.890244811
6eaada2f5c9771012ab871306313cabc,D_0__Bacteria;D_1__Marinimicrobia (SAR406 clade);D_2__uncultured Fibrobacteres/Acidobacteria group bacterium;D_3__uncultured Fibrobacteres/Acidobacteria group bacterium;D_4__uncultured Fibrobacteres/Acidobacteria group bacterium;D_5__uncultured Fibrobacteres/Acidobacteria group bacterium;D_6__uncultured Fibrobacteres/Acidobacteria group bacterium,0.999984784
bdfb4121a3d191204d85c4f9d10ed5bc,D_0__Eukaryota;D_1__SAR;D_2__Stramenopiles;D_3__Ochrophyta,0.935002876
c26eabaa37aa928f256d3154f7605566,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade II,0.961290653
95164fa8aa5c977821628139c6a16aff,D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__Bdellovibrionales;D_4__Bdellovibrionaceae;D_5__OM27 clade;D_6__uncultured bacterium,0.805632128
9e449f38d52ec8e406ffe6aa5e88be61,D_0__Bacteria;D_1__Chloroflexi;D_2__Dehalococcoidia;D_3__SAR202 clade,0.944493408
da4305068db0ce34a397d6dd305bfa03,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade II,0.776269962
4839246f1d21a5dd889bb09ec945dfd4,D_0__Archaea;D_1__Thaumarchaeota;D_2__Nitrososphaeria;D_3__Nitrosopumilales;D_4__Nitrosopumilaceae,0.999999999
14a68b6a591aa55e2d0f081e59ed8334,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Alteromonadales;D_4__Colwelliaceae;D_5__Colwellia,0.999984068
f06d9bf92f0603ef3636fc0f5a7d627c,D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__Bdellovibrionales;D_4__Bdellovibrionaceae;D_5__OM27 clade,0.996550736
b3bced423e5a221517d067e4a731b1a0,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria,0.981896662
7f89f20ae416404c2b7e8d80bb8bb657,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__uncultured,0.999975159
7513730ab22ae0eb087fb722f9d7cd1f,D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;D_4__NS9 marine group,0.999999243
fd88dc515e0ccc94a14b2cb11e3c8eb9,D_0__Bacteria;D_1__Hydrogenedentes;D_2__Hydrogenedentia;D_3__Hydrogenedentiales;D_4__Hydrogenedensaceae,0.99999263
4e3245724ee7704d9506b06e80e6917d,D_0__Bacteria;D_1__Planctomycetes;D_2__Phycisphaerae;D_3__Phycisphaerales;D_4__Phycisphaeraceae;D_5__JL-ETNP-F27;D_6__uncultured bacterium,0.903439932
a2be8080eb04e1c951ed7f7f90d429b4,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade I;D_5__Clade Ia,0.98385377
fbef650e1431b2fcd1573c86e49d31ec,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodospirillales;D_4__Magnetospiraceae;D_5__uncultured,0.992011409
6d78b1fe123b06aaf46b92d9494d1619,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__SAR11 clade;D_4__Clade II,0.702041478
e77f95758a66c7a214798192dad74eb5,D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Synechococcales;D_4__Cyanobiaceae;D_5__Prochlorococcus MIT9313,0.813649865
05b48eb54be8c6911229f0ac248b94ff,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Alteromonadales;D_4__Alteromonadaceae,0.999993882
89e6939b58e9d04ff5cb69662e8a08ab,D_0__Bacteria;D_1__Proteobacteria,0.895801859
9369c3371a77b429ca44ffc17640ab3b,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Francisellales;D_4__Francisellaceae;D_5__[Caedibacter] taeniospiralis group,0.998525426
09c6ae5e1e156a6ebb6d2d278051f5fd,D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;D_4__Crocinitomicaceae,0.999994853
bb07fe2b6ad5857df1c14d1561c0ba95,D_0__Bacteria;D_1__Verrucomicrobia;D_2__Verrucomicrobiae;D_3__Opitutales;D_4__Puniceicoccaceae;D_5__A714019;D_6__uncultured Verrucomicrobia bacterium,0.999691882
5f4a50abac59911db59d57387169f325,D_0__Bacteria;D_1__Planctomycetes;D_2__OM190,0.981633488
9b25c6345371c20ccb83739a7919fb37,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Vibrionales;D_4__Vibrionaceae;D_5__Vibrio,0.981133462
6545a56527af131692972241fdf68c53,D_0__Bacteria;D_1__Chloroflexi;D_2__Dehalococcoidia;D_3__SAR202 clade,0.997624538
917a8b42af04f528d9365bb428891be5,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria,0.895477942
9fd4d3584f33c953320f7ad4d32e8520,D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;D_4__NS9 marine group,0.998303
f4377b5e7e1f3b9cabafc7837a016493,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria,0.999567369
